[NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 7ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 32ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 256ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 555ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 568ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 668ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 430ms
VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 823ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 811ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 1172ms
74VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 325ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 622ms
VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
2VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 813ms
VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 849ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 1071ms
71VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
